[2016-07-28 09:34:22,860][INFO ][node                     ] [Yellowjacket] version[5.0.0-alpha3-SNAPSHOT], pid[10152], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 09:34:22,862][INFO ][node                     ] [Yellowjacket] initializing ...
[2016-07-28 09:34:22,883][INFO ][plugins                  ] [Yellowjacket] modules [], plugins []
[2016-07-28 09:34:22,936][INFO ][env                      ] [Yellowjacket] using [1] data paths, mounts [[OS (C:)]], net usable_space [77.2gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
[2016-07-28 09:34:22,936][INFO ][env                      ] [Yellowjacket] heap size [3.9gb], compressed ordinary object pointers [true]
[2016-07-28 09:34:33,022][INFO ][node                     ] [Yellowjacket] initialized
[2016-07-28 09:34:33,022][INFO ][node                     ] [Yellowjacket] starting ...
[2016-07-28 09:34:33,293][INFO ][transport                ] [Yellowjacket] publish_address {127.0.0.1:9300}, bound_addresses {127.0.0.1:9300}, {[::1]:9300}
[2016-07-28 09:34:33,323][WARN ][bootstrap                ] [Yellowjacket] please set [discovery.zen.minimum_master_nodes] to a majority of the number of master eligible nodes in your cluster
[2016-07-28 09:34:37,600][INFO ][cluster.service          ] [Yellowjacket] new_master {Yellowjacket}{I6pFnz45R1GVHqq34Krm7w}{127.0.0.1}{127.0.0.1:9300}, reason: zen-disco-join(elected_as_master, [0] joins received)
[2016-07-28 09:34:37,712][INFO ][http                     ] [Yellowjacket] publish_address {127.0.0.1:9200}, bound_addresses {127.0.0.1:9200}, {[::1]:9200}
[2016-07-28 09:34:37,712][INFO ][node                     ] [Yellowjacket] started
[2016-07-28 09:34:38,434][WARN ][gateway                  ] [Yellowjacket] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 09:34:38,434][INFO ][gateway                  ] [Yellowjacket] recovered [1] indices into cluster_state
[2016-07-28 09:34:38,785][WARN ][gateway                  ] [Yellowjacket] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 09:34:39,282][WARN ][gateway                  ] [Yellowjacket] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 09:34:39,360][INFO ][cluster.routing.allocation] [Yellowjacket] Cluster health status changed from [RED] to [YELLOW] (reason: [shards started [[products][4]] ...]).
[2016-07-28 09:34:39,362][WARN ][gateway                  ] [Yellowjacket] [[products/xQepTdIXT8OjWCXFOQPOmw]] can not be imported as a dangling index, as index with same name already exists in cluster metadata
[2016-07-28 10:06:01,443][INFO ][node                     ] [Thog] version[5.0.0-alpha3-SNAPSHOT], pid[7328], build[Unknown/Unknown], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_91/25.91-b15]
[2016-07-28 10:06:01,444][INFO ][node                     ] [Thog] initializing ...
[2016-07-28 10:06:01,449][INFO ][plugins                  ] [Thog] modules [], plugins []
[2016-07-28 10:06:01,481][INFO ][env                      ] [Thog] using [1] data paths, mounts [[OS (C:)]], net usable_space [77.2gb], net total_space [226.2gb], spins? [unknown], types [NTFS]
